"10.
","                Cardioсоматика («Кардиосоматика»)
     ","2221-7185
","               14.01.04 – Внутренние болезни (медицинские науки),
14.01.05 – Кардиология (медицинские науки),
14.01.13 – Лучевая диагностика, лучевая терапия (медицинские науки)
    с 28.12.2018
               "
"11.
","           CATHEDRA – КАФЕДРА. Стоматологическое образование
   ","2222-2154
","          14.01.14 – Стоматология (медицинские науки),
14.03.06 – Фармакология, клиническая фармакология (фармацевтические науки),
14.03.09 – Клиническая иммунология, аллергология (медицинские науки)
   с 28.12.2018
           "
"12.
","       Cloud of science
   ","2409-031X
","      05.13.06 – Автоматизация и управление технологическими процессами и производствами (по отраслям) (технические науки),
05.13.10 – Управление в социальных и экономических системах (технические науки),
05.13.15 – Вычислительные машины, комплексы и компьютерные сети (технические науки),
05.13.17 – Теоретические основы информатики (технические науки) , 05.25.02 – Документалистика, документоведение архивоведение (технические науки)
   с 28.12.2018
       "
"13.
","   Computational nanotechnology
   ","2313-223Х
","   05.02.02 – Машиноведение системы приводов и детали машин (технические науки),
05.02.04 – Трение и износ в машинах (технические науки),
05.02.07 – Технология и оборудование механической и физико-технической обработки (технические науки), 05.02.08 – Технология машиностроения (технические науки),
05.02.09 – Технологии и машины обработки давлением (технические науки),
05.02.10 – Сварка, родственные процессы и технологии (технические науки),
05.02.11 – Методы контроля и диагностика в машиностроении (технические науки),
05.02.22 – Организация производства
   с 28.12.2018
  
                  (по отраслям) (технические науки), 05.02.23 – Стандартизация и управление качеством продукции (технические науки),
05.14.01 – Энергетические системы и комплексы (технические науки), 05.14.03 – Ядерные энергетические установки, включая проектирование эксплуатацию и вывод из эксплуатации (физико-математические науки), 05.14.08 – Энергоустановки на основе возобновляемых видов энергии (технические науки)
     05.13.01 – Системный анализ, управление
и обработка информации (по отраслям) (физико-математические науки), 05.13.05 – Элементы и устройства вычислительной техники и систем управления (технические науки), 05.13.06 – Автоматизация и управление технологическими процессами
и производствами (по отраслям) (технические науки),
05.13.10 – Управление в социальных
и экономических системах (технические науки),
05.13.11 – Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей (физико- математические науки),
05.13.12 – Системы автоматизации проектирования (по отраслям) (физико- математические науки),
05.13.15 – Вычислительные машины, комплексы и компьютерные сети (физико-математические науки), 05.13.17 – Теоретические основы информатики (физико-математические науки),
05.13.18 – Математическое моделирование, численные методы и комплексы программ (физико- математические науки),
05.13.19 – Методы и системы защиты информации, информационная безопасность (физико-математические науки),
05.13.20 – Квантовые методы обработки информации (физико- математические науки)
  с 12.02.2019
     "
"14.
","                Consilium Medicum («Врачебный консилиум»)
     ","2075-1753
","                14.01.02 – Эндокринология (медицинские науки),
14.01.03 – Болезни уха, горла и носа (медицинские науки),
14.01.04 – Внутренние болезни (медицинские науки),
    с 28.12.2018
              
           14.01.05 – Кардиология (медицинские науки),
14.01.11 – Нервные болезни (медицинские науки),
14.01.16 – Фтизиатрия (медицинские науки),
14.01.17 – Хирургия (медицинские науки),
14.01.22 – Ревматология (медицинские науки),
14.01.23 – Урология (медицинские науки),
14.01.25 – Пульмонология (медицинские науки),
14.01.28 – Гастроэнторология (медицинские науки),
14.01.30 – Геронтология и гериатрия (медицинские науки)
        "
"15.
","    Dental Forum
     ","2077-6632
","   14.01.14 – Стоматология (медицинские науки)
    с 28.12.2018
   "
"16.
","   Epistemology & Philosophy of Sciences /Эпистемология и философия науки
   ","1811-833Х 2311-7133
","  09.00.01 – Онтология и теория познания (философские науки), 09.00.08 – Философия науки и техники (философские науки),
09.00.13 – Философская антропология, философия культуры (философские науки)
   с 28.12.2018
   "
"17.
","   European Social Science Journal («Европейский журнал социальных наук»)
   ","2079-5513
","   08.00.01 – Экономическая теория (экономические науки),
08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
08.00.10 – Финансы, денежное обращение и кредит (экономические науки),
08.00.12 – Бухгалтерский учет, статистика (экономические науки), 08.00.13 – Математические и инструментальные методы экономики (экономические науки),
08.00.14 – Мировая экономика (экономические науки),
13.00.01 – Общая педагогика, история педагогики и образования (педагогические науки),
13.00.02 – Теория и методика обучения и воспитания (по областям и уровням образования) (педагогические науки), 13.00.03 – Коррекционная педагогика (сурдопедагогика и тифлопедагогика, олигофренопедагогика и логопедия) (педагогические науки),
13.00.04 – Теория и методика физического воспитания, спортивной тренировки, оздоровительной и
   с 28.12.2018
  
           адаптивной физической культуры (педагогические науки),
13.00.05 – Теория, методика и организация социально-культурной деятельности (педагогические науки), 13.00.08 – Теория и методика профессионального образования (педагогические науки),
19.00.01 – Общая психология, психология личности, история психологии (психологические науки), 19.00.02 – Психофизиология (психологические науки),
19.00.03 – Психология труда, инженерная психология, эргономика (психологические науки),
19.00.04 – Медицинская психология (психологические науки),
19.00.05 – Социальная психология (психологические науки),
19.00.06 – Юридическая психология (психологические науки),
19.00.07 – Педагогическая психология (психологические науки),
19.00.10 – Коррекционная психология (психологические науки),
19.00.12 – Политическая психология (психологические науки),
19.00.13 – Психология развития, акмеология (психологические науки)
        "
"18.
","    Folia Otorhinolaryngologiae et Pathologiae Respiratoriae
     ","2310-3825
","   14.01.03 – Болезни уха, горла и носа (медицинские науки)
    с 28.12.2018
   "
"19.
","           Genesis: исторические исследования
   ","2409-868Х
","           07.00.02 – Отечественная история (исторические науки),
07.00.03 – Всеобщая история (соответствующего периода) (исторические науки),
07.00.07 – Этнография, этнология и антропология (исторические науки), 07.00.10 – История науки и техники (исторические науки),
12.00.01 – Теория и история права и государства; история учений о праве и государстве (юридические науки), 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право (юридические науки),
12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право (юридические науки),
12.00.04 – Финансовое право; налоговое право; бюджетное право (юридические науки),
12.00.05 – Трудовое право; право социального обеспечения
   с 28.12.2018
          
           (юридические науки),
12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право (юридические науки),
12.00.07 – Корпоративное право; энергетическое право (юридические науки),
12.00.08 – Уголовное право и криминология; уголовно- исполнительное право (юридические науки),
12.00.09 – Уголовный процесс (юридические науки),
12.00.10 – Международное право; Европейское право (юридические науки),
12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность (юридические науки), 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность (юридические науки),
12.00.13 – Информационное право (юридические науки),
12.00.14 – Административное право; административный процесс (юридические науки),
12.00.15 – Гражданский процесс; арбитражный процесс (юридические науки),
24.00.01 – Теория и история культуры (культурология),
24.00.03 – Музееведение, консервация и реставрация историко-культурных объектов (культурология)
        "
"20.
","    Head and Neck. Голова и шея. Российское издание. Журнал Общероссийской общественной организации «Федерация специалистов по лечению заболеваний головы и шеи»
     ","2310-5194
","    14.01.02 – Эндокринология (медицинские науки),
14.01.03 – Болезни уха, горла и носа (медицинские науки),
14.01.07 – Глазные болезни (медицинские науки),
14.01.10 – Кожные и венерические болезни (медицинские науки), 14.01.12 – Онкология (медицинские науки),
14.01.14 – Стоматология (медицинские науки),
14.01.17 – Хирургия (медицинские науки),
14.01.18 – Нейрохирургия (медицинские науки),
14.01.31 – Пластическая хирургия (медицинские науки)
    с 28.12.2018
  
     "
"21.
","         International Journal for Computation Civil and Structural Engineering (Международный журнал по расчету гражданских и строительных конструкций)
    ","1524-5845
","         01.02.04 – Механика деформируемого твердого тела (технические науки), 05.13.18 – Математическое моделирование численные методы и комплексы программ (технические науки),
05.23.01 – Строительные конструкции, здания и сооружения (технические науки),
05.23.02 – Основания и фундаменты, подземные сооружения (технические науки),
05.23.05 – Строительные материалы и изделия (технические науки), 05.23.07 – Гидротехническое строительство (технические науки), 05.23.17 – Строительная механика (технические науки)
   с 28.12.2018
             "
"22.
","                    International Journal of Advanced Studies (Международный журнал перспективных исследований)
     ","2328-1391 2227-930X
","                   05.22.01 – Транспортные и транспортно-технологические системы страны, ее регионов и городов, организация производства на транспорте (технические науки), 05.22.08 – Управление процессами перевозоки (технические науки), 05.22.10 – Эксплуатация автомобильного транспорта (технические науки)
    с 28.12.2018
                   "
"23.
","           International Journal of Open Information Technologies
   ","2307-8162
","           01.01.09 – Дискретная математика и математическая кибернетика (физико- математические науки),
05.13.01 – Системный анализ, управление и обработка информации (по отраслям) (физико-математические науки),
05.13.01 – Системный анализ, управление и обработка информации (по отраслям) (технические науки), 05.13.11 – Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей (физико- математические науки),
05.13.11 – Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей (технические науки),
05.13.15 – Вычислительные машины, комплексы и компьютерные сети (физико-математические науки), 05.13.15 – Вычислительные машины, комплексы и компьютерные сети (технические науки),
05.13.17 – Теоретические основы информатики (технические науки), 05.13.17 – Теоретические основы информатики (физико-математические
   с 26.03.2019
          
           науки),
05.13.18 – Математическое моделирование численные методы и комплексы программ (физико- математические науки),
05.13.18 – Математическое моделирование численные методы и комплексы программ (технические науки),
05.13.19 – Методы и системы защиты информации, информационная безопасность (физико-математические науки),
05.13.19 – Методы и системы защиты информации, информационная безопасность (технические науки)
        "
"24.
","    Journal of Economic Regulation («Вопросы регулирования экономики»)
     ","2078-5429
","   08.00.01 – Экономическая теория (экономические науки),
08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки)
    с 28.12.2018
   "
"25.
","   Journal of Institutional Studies («Журнал институциональных исследований»)
   ","2076-6297
","  08.00.01 – Экономическая теория (экономические науки),
08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
08.00.10 – Финансы, денежное обращение и кредит (экономические науки),
08.00.13 – Математические и инструментальные методы экономики (экономические науки),
08.00.14 – Мировая экономика (экономические науки)
   с 28.12.2018
   "
"26.
"," Journal of Siberian Medical Science
(До 09.08.2018 г. наименование в Перечне «Медицина и образование в Сибири»
ISSN 1995-0020)
   ","2542-1174
","14.01.01 – Акушерство и гинекология (медицинские науки),
14.01.02 – Эндокринология (медицинские науки),
14.01.04 – Внутренние болезни (медицинские науки),
14.01.05 – Кардиология (медицинские науки),
14.01.06 – Психиатрия (медицинские науки),
14.01.08 – Педиатрия (медицинские науки),
14.01.09 – Инфекционные болезни (медицинские науки),
14.01.10 – Кожные и венерические болезни (медицинские науки), 14.01.11 – Нервные болезни (медицинские науки),
14.01.16 – Фтизиатрия (медицинские науки),
14.01.21 – Гематология и переливание
  с 28.12.2018

           крови (медицинские науки), 14.01.25 – Пульмонология (медицинские науки),
14.01.27 – Наркология (медицинские науки),
14.03.01 – Анатомия человека (медицинские науки),
14.03.02 – Патологическая анатомия (медицинские науки),
14.03.03 – Патологическая физиология (медицинские науки),
14.03.04 – Токсикология (медицинские науки),
14.03.05 – Судебная медицина (медицинские науки),
14.03.06 – Фармакология, клиническая фармакология (медицинские науки), 14.03.07 – Химиотерапия и антибиотики (медицинские науки), 14.03.09 – Клиническая иммунология, аллергология (медицинские науки), 14.03.10 – Клиническая лабораторная диагностика (медицинские науки), 14.03.11 – Восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия (медицинские науки), 14.04.01 – Технология получения лекарств (фармацевтические науки), 14.04.02 – Фармацевтическая химия, фармакогнозия (фармацевтические науки),
14.04.03 – Организация фармацевтического дела (фармацевтические науки)
        "
"27.
","    KANT
     ","2222-243X
","    08.00.01 – Экономическая теория (экономические науки),
08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
08.00.10 – Финансы, денежное обращение и кредит (экономические науки),
08.00.12 – Бухгалтерский учет, статистика (экономические науки), 08.00.13 – Математические и инструментальные методы экономики (экономические науки),
08.00.14 – Мировая экономика (экономические науки),
09.00.03 – История философии (философские науки),
09.00.11 – Социальная философия (философские науки),
09.00.13 – Философская антропология, философия культуры (философские науки),
09.00.14 – Философия религии и
    с 28.12.2018
  
                 религиоведение (философские науки), 13.00.01 – Общая педагогика, история педагогики и образования (педагогические науки),
13.00.02 – Теория и методика обучения и воспитания (по областям и уровням образования) (педагогические науки), 13.00.04 – Теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры (педагогические науки),
13.00.05 – Теория, методика и организация социально-культурной деятельности (педагогические науки), 13.00.08 – Теория и методика профессионального образования (педагогические науки)
       "
"28.
","Legal Concept = Правовая парадигма
(До 27.11.2017 г. наименование в Перечне Вестник Волгоградского государственного университета. Серия 5. Юриспруденция ISSN 2078-8495)
  ","2587-8115
","12.00.01 – Теория и история права и государства; история учений о праве и государстве (юридические науки), 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право (юридические науки),
12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право (юридические науки),
12.00.04 – Финансовое право; налоговое право; бюджетное право (юридические науки),
12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право (юридические науки),
12.00.07 – Корпоративное право; энергетическое право (юридические науки),
12.00.10 – Международное право; Европейское право (юридические науки),
12.00.14 – Административное право; административный процесс (юридические науки)
  с 28.12.2018
     "
"29.
","    Logos et Praxis
(До 18.05.2018 г. наименование в Перечне Вестник Волгоградского государственного университета. Серия 7. Философия. Социология и социальные технологии ISSN 1998-9946)
     ","2587-9715
","    09.00.01 – Онтология и теория познания (философские науки), 09.00.03 – История философии (философские науки),
09.00.11 – Социальная философия (философские науки),
09.00.13 – Философская антропология, философия культуры (философские науки),
22.00.03 – Экономическая социология и демография (социологические науки), 22.00.04 – Социальная структура, социальные институты и процессы
    с 28.12.2018
  
                 (социологические науки),
22.00.08 – Социология управления (социологические науки)
       "
"30.
","Lex russica (Русский закон)
  ","1729-5920
","12.00.01 – Теория и история права и государства; история учений о праве и государстве (юридические науки), 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право (юридические науки),
12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право (юридические науки),
12.00.04 – Финансовое право; налоговое право; бюджетное право (юридические науки),
12.00.05 – Трудовое право; право социального обеспечения (юридические науки),
12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право (юридические науки),
12.00.07 – Корпоративное право; энергетическое право (юридические науки),
12.00.08 – Уголовное право и криминология; уголовно- исполнительное право (юридические науки),
12.00.09 – Уголовный процесс (юридические науки),
12.00.10 – Международное право; Европейское право (юридические науки),
12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность (юридические науки), 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность (юридические науки),
12.00.13 – Информационное право (юридические науки),
12.00.14 – Административное право; административный процесс (юридические науки),
12.00.15 – Гражданский процесс; арбитражный процесс (юридические науки)
  с 28.12.2018
     "
"31.
","            Litera
     ","2409-8701
","            10.01.01 – Русская литература (филологические науки),
10.01.02 – Литература народов Российской Федерации (с указанием конкретной литературы или группы
    с 28.12.2018
          
              литератур) (филологические науки), 10.01.03 – Литература народов стран зарубежья (с указанием конкретной литературы) (филологические науки), 10.01.08 – Теория литературы. Текстология (филологические науки), 10.01.09 – Фольклористика (филологические науки),
10.01.10 – Журналистика (филологические науки),
10.02.01 – Русский язык (филологические науки),
10.02.02 – Языки народов Российской Федерации (с указанием конкретного языка или языковой семьи) (филологические науки),
10.02.03 – Славянские языки (филологические науки),
10.02.04 – Германские языки (филологические науки),
10.02.05 – Романские языки (филологические науки),
10.02.14 – Классическая филология, византийская и новогреческая филология (филологические науки), 10.02.19 – Теория языка (филологические науки),
10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание (филологические науки), 10.02.21 – Прикладная и математическая лингвистика (филологические науки),
10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии (с указанием конкретного языка или языковой семьи) (филологические науки),
24.00.01 – Теория и история культуры (культурология),
24.00.03 – Музееведение, консервация и реставрация историко-культурных объектов (культурология)
              "
"32.
","MALIGNANT TUMOURS «Злокачественные опухоли»
","2224-5057
","14.01.17 – Хирургия (медицинские науки)
с 28.12.2018
               "
"33.
","Minbar. Islamic Studies
","2618-9569
","07.00.02 – Отечественная история (исторические науки),
07.00.03 – Всеобщая история (соответствующего периода) (исторические науки),
с 12.02.2019
          
                 07.00.07 – Этнография, этнология
и антропология (исторические науки), 07.00.09 – Историография, источниковедение и методы исторического исследования (исторические науки),
07.00.15–- История международных отношений и внешней политики (исторические науки),
19.00.01 – Общая психология, психология личности, история психологии (психологические науки), 19.00.05 – Социальная психология (психологические науки),
26.00.01 – Теология (теология)
       "
"34.
","Modern Economy Success
  ","2500-3747
","08.00.01 – Экономическая теория (экономические науки),
08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
08.00.10 – Финансы, денежное обращение и кредит (экономические науки),
08.00.12 – Бухгалтерский учет, статистика (экономические науки), 08.00.13 – Математические и инструментальные методы экономики (экономические науки),
08.00.14 – Мировая экономика (экономические науки)
  с 12.02.2019
     "
