,p_fx_levels,eligibility,eligibility - label,reviewer_note,available_reports,Title,URL,Description,ShortDetails,Author,Journal,Year,abstract,retraction_notes,protocol_and_reg,p_setting,p_sampling,p_sex,p_age,p_doi,p_hpi,p_pmhx_pshx,p_medications,p_osteoporosis,p_obs_gyn,p_sx_risk,p_extra_injuries,p_fx_count,p_fx_morphology,p_neurology,p_spine_pshx,p_spine_disease,i_main,i_comparison,i_assignment,o_main_analyses,Details,Resource,Type,Identifiers,Db,EntrezUID,Properties,BibliographyType,ISBN,Identifier,Volume,Number,Month,Pages,Address,Note,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,primary_screen_ts,p_sample_losses,p_allergies,p_social_hx,p_family_hx,p_other,i_rationale,i_who_where,i_care_coverage,i_alloc_conceal,i_assign_mask,i_deliv_deviations,i_crossover,i_sx_count,i_extra_sx,i_nonsx_therapy,i_time_to_sx,i_preop_wu,i_anesthesia,i_surgeon_xp,i_incision_line,i_incision_size,i_sx_retractors,i_endoscopy,i_videoscopy,i_microscopy,i_microsurgery,i_sx_navigation,i_c-arm,i_spine_toolset,i_decompression,i_reduction,i_screw_count,i_screw_config,i_post_fixat_dev,i_ven_fixat_dev,i_fus_implants,i_fus_technique,i_augmentation,i_other_implants,i_drain_policy,i_suturing,i_postop_mgmt,i_dc_plan,i_other,o_assessment,o_assess_mask,o_fu_schedule,o_fu_losses,o_nonreporting,o_sub_analyses,o_add_analyses,o_handl_mul_anal,o_covar_adjust,o_survival_anal,o_mul_measure,o_or_time,o_blood_loss,o_transfus_need,o_neurology,o_other_ae,o_hrqol,o_pain_intensity,o_pt_satisfaction,o_other_proms,o_other_croms,o_ssi,o_pacu_time,o_inpatient_stay,o_neuropath_pain,o_sepsis,o_intraop_ae,o_repeat_sx,o_readmission,o_death,o_pneumonia,o_vte,o_implant_failure,o_implant_remov,o_verterbal_kyph,o_seg_kyph,o_local_kyph,o_vertebral_ht,o_poor_union,o_kyph_corr,o_corr_loss,o_canal_stenosis,o_alignment,o_other_imaging,o_return_to_work,o_other,handl_miss_data,other_adjust,regression_anal,other_econ_anal,study_conclusions,practice_recomm,research_recomm,what_is_next,discussion,correspondence,coi_concern,miscond_concern,preib_cnfndng,preib_selection,preib_rndmztn,atib_msclssfctn,poib_deviations,poib_missing,poib_msrmnt,poib_selection
9288,,,,,,"SAPHO syndrome with pathological
fractures of vertebral bodies: a
case report.",/pubmed/30654792,"Li Y, Liu G, Zhao Y, Luo Y, Lu T.",BMC Musculoskelet Disord.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMC Musculoskelet Disord. 2019 Jan 17;20(1):27. doi: 10.1186/s12891-019-2410-x.,PubMed,citation,PMID:30654792 | PMCID:PMC6337767,pubmed,30654792,create date:2019/01/19 | first author:Li Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9373,,,,,,"[Surgical treatment strategy for
the ”shell” phenomenon after
thoracolumbar fracture].",/pubmed/30644260,"Hu H, Lin X, Tan L, Wu C, Zhong Z, Zeng J, Deng J.",Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2019 Jan 15;33(1):49-55. doi: 10.7507/1002-1892.201806085. Chinese. ,PubMed,citation,PMID:30644260,pubmed,30644260,create date:2019/01/16 | first author:Hu H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9711,,,,,,"Effects of Percutaneous
Kyphoplasty on Bone Metabolism and
Oxidative Stress in Elderly
Patients with Osteoporotic Spinal
Fractures.",/pubmed/30630567,"Liu Q, Cao J, Kong J.",J Coll Physicians Surg Pak.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Coll Physicians Surg Pak. 2019 Jan;29(1):37-40. doi: 10.29271/jcpsp.2019.01.37.,PubMed,citation,PMID:30630567,pubmed,30630567,create date:2019/01/12 | first author:Liu Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9660,,,,,,"Comparison of Four Different
Posterior Screw Fixation
Techniques for the Treatment of
Thoracolumbar Junction Fractures.",/pubmed/30579033,"Saglam N, Dogan S, Ozcan C, Turkmen I.",World Neurosurg.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Neurosurg. 2019 Mar;123:e773-e780. doi: 10.1016/j.wneu.2018.12.030. Epub 2018 Dec 19.,PubMed,citation,PMID:30579033,pubmed,30579033,create date:2018/12/24 | first author:Saglam N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889,,,,,,"[Comparison of effectiveness
between two combined anterior and
posterior approaches for
complicated acetabular
fractures].",/pubmed/30569675,"Yao Y, Xue C, Sun Y, Zhan J, Jing J.",Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi.  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2018 Dec 15;32(12):1512-1517. doi: 10.7507/1002-1892.201806096. Chinese. ,PubMed,citation,PMID:30569675,pubmed,30569675,create date:2018/12/21 | first author:Yao Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9272,,,,,,"Incidence of dysphagia and
dysphonia after Hangman's
fractures: Evidence from 93
patients.",/pubmed/30544470,"Yang Y, Dai L, Ma L, Gao X, Liu H.",Medicine (Baltimore).  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine (Baltimore). 2018 Dec;97(49):e13552. doi: 10.1097/MD.0000000000013552.,PubMed,citation,PMID:30544470 | PMCID:PMC6310564,pubmed,30544470,create date:2018/12/14 | first author:Yang Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9440,,,,,,"Cement Distribution Patterns in
Osteoporotic Vertebral Compression
Fractures with Intravertebral
Cleft: Effect on Therapeutic
Efficacy.",/pubmed/30503288,"Yu W, Xiao X, Zhang J, Li Z, Wang X, Tang F, Jiang X, Zhong Y.",World Neurosurg.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Neurosurg. 2019 Mar;123:e408-e415. doi: 10.1016/j.wneu.2018.11.181. Epub 2018 Nov 29.,PubMed,citation,PMID:30503288,pubmed,30503288,create date:2018/12/07 | first author:Yu W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9715,,,,,,"[Modified incision to prevent the
postoperative spinal lateral
angulation in surgery via anterior
approach for lumbar fracture].",/pubmed/30514048,"Ma LT, Yang Y, Liu H, Wang BY, Deng YX, Ding C, Gong Q, Li T.",Zhongguo Gu Shang.  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhongguo Gu Shang. 2018 Nov 25;31(11):1049-1053. doi: 10.3969/j.issn.1003-0034.2018.11.013. Chinese. ,PubMed,citation,PMID:30514048,pubmed,30514048,create date:2018/12/06 | first author:Ma LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9850,,,,,,"Predictors of 30-Day
Postoperative Pulmonary
Complications After Open Reduction
and Internal Fixation of Vertebral
Fractures.",/pubmed/30496929,"Ye I, Tang R, White SJ, Cheung ZB, Cho SK.",World Neurosurg.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Neurosurg. 2019 Mar;123:e288-e293. doi: 10.1016/j.wneu.2018.11.153. Epub 2018 Nov 26.,PubMed,citation,PMID:30496929,pubmed,30496929,create date:2018/11/30 | first author:Ye I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9600,,,,,,"Medial Branch Block Versus
Vertebroplasty for 1-Level
Osteoporotic Vertebral Compression
Fracture: 2-Year Retrospective
Study.",/pubmed/30481629,"Bae IS, Chun HJ, Bak KH, Yi HJ, Choi KS, Kim KD.",World Neurosurg.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Neurosurg. 2019 Feb;122:e1599-e1605. doi: 10.1016/j.wneu.2018.11.142. Epub 2018 Nov 24.,PubMed,citation,PMID:30481629,pubmed,30481629,create date:2018/11/28 | first author:Bae IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9586,,,,,,"[Availability of Early Balloon
Kyphoplasty for the Treatment of
Osteoporotic Compression
Fractures].",/pubmed/30458433,"Takano Y, Kubota M, Takebayashi K, Kihara K, Yuzurihara M, Tachibana S, Kawamata T.",No Shinkei Geka.  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shinkei Geka. 2018 Nov;46(11):969-974. doi: 10.11477/mf.1436203850. Japanese. ,PubMed,citation,PMID:30458433,pubmed,30458433,create date:2018/11/21 | first author:Takano Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9365,,,,,,"New AOSpine subaxial cervical
spine injury classification and
its clinical usage.",/pubmed/30442007,Vaněk P.,Rozhl Chir.  Spri,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rozhl Chir. Spring 2018;97(6):273-278.,PubMed,citation,PMID:30442007,pubmed,30442007,create date:2018/11/18 | first author:Vaněk P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9602,,,,,,"Percutaneous kyphoplasty for
osteoporotic vertebral compression
fractures via unilateral versus
bilateral approach: A
meta-analysis.",/pubmed/30414813,"Yin P, Ji Q, Wang Y, Liu Y, Wu Y, Yu Y, Hai Y, Su Q.",J Clin Neurosci.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Clin Neurosci. 2019 Jan;59:146-154. doi: 10.1016/j.jocn.2018.10.112. Epub 2018 Nov 7.,PubMed,citation,PMID:30414813,pubmed,30414813,create date:2018/11/12 | first author:Yin P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9295,,,,,,"Comparison of Percutaneous
Kyphoplasty Versus Modified
Percutaneous Kyphoplasty for
Treatment of Osteoporotic
Vertebral Compression Fractures.",/pubmed/30414526,"Qi Y, Zeng Y, Jiang C, Liang B, Sui J, Zhao L, Wang D.",World Neurosurg.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Neurosurg. 2019 Feb;122:e1020-e1027. doi: 10.1016/j.wneu.2018.10.205. Epub 2018 Nov 7.,PubMed,citation,PMID:30414526,pubmed,30414526,create date:2018/11/11 | first author:Qi Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9629,,,,,,"Incidence of Cement Leakage
Between Unilateral and Bilateral
Percutaneous Vertebral
Augmentation for Osteoporotic
Vertebral Compression Fractures: A
Meta-Analysis of Randomized
Controlled Trials.",/pubmed/30391616,"Chen W, Xie W, Xiao Z, Chen H, Jin D, Ding J.",World Neurosurg.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Neurosurg. 2019 Feb;122:342-348. doi: 10.1016/j.wneu.2018.10.143. Epub 2018 Nov 1. Review.,PubMed,citation,PMID:30391616,pubmed,30391616,create date:2018/11/06 | first author:Chen W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9303,,,,,,"Clinical application of the
pedicle in vitro restorer in
percutaneous kyphoplasty.",/pubmed/30359276,"Qi Y, Zeng Y, Wang D, Sui J, Wang Q.",J Orthop Surg Res.  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Orthop Surg Res. 2018 Oct 25;13(1):268. doi: 10.1186/s13018-018-0978-8.,PubMed,citation,PMID:30359276 | PMCID:PMC6203289,pubmed,30359276,create date:2018/10/26 | first author:Qi Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9648,,,,,,"Balloon kyphoplasty versus
percutaneous vertebroplasty for
osteoporotic vertebral compression
fracture: a meta-analysis and
systematic review.",/pubmed/30348192,"Wang B, Zhao CP, Song LX, Zhu L.",J Orthop Surg Res.  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Orthop Surg Res. 2018 Oct 22;13(1):264. doi: 10.1186/s13018-018-0952-5.,PubMed,citation,PMID:30348192 | PMCID:PMC6196425,pubmed,30348192,create date:2018/10/24 | first author:Wang B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9503,,,,,,"Can an unipedicular approach
replace bipedicular percutaneous
vertebroplasty for osteoporotic
vertebral compression fracture?",/pubmed/30347587,"Wang W, Duan K, Ma M, Jiang Y, Liu T, Liu J, Hao D.",J Back Musculoskelet Rehabil.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Back Musculoskelet Rehabil. 2019;32(2):261-267. doi: 10.3233/BMR-170870.,PubMed,citation,PMID:30347587,pubmed,30347587,create date:2018/10/24 | first author:Wang W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9317,,,,,,"Exploratory analysis of
predictors of revision surgery for
proximal junctional kyphosis or
additional postoperative vertebral
fracture following adult spinal
deformity surgery in elderly
patients: a retrospective cohort
study.",/pubmed/30314520,"Uei H, Tokuhashi Y, Maseda M, Nakahashi M, Sawada H, Matsumoto K, Miyakata H.",J Orthop Surg Res.  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Orthop Surg Res. 2018 Oct 12;13(1):252. doi: 10.1186/s13018-018-0960-5.,PubMed,citation,PMID:30314520 | PMCID:PMC6186028,pubmed,30314520,create date:2018/10/14 | first author:Uei H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
