,ts_c1,type_c24,type_c24 - label_c18,ws_c25,ws_c25 - label_c9,key1_c26,key1_c26 - label_c19,val1_c27,ref1_c46,ref1_c46 - val1_c27,key2_c28,key2_c28 - label_c19,val2_c29,ref2_c47,ref2_c47 - val2_c29,key3_c30,key3_c30 - label_c19,val3_c31,ref3_c49,ref3_c49 - val3_c31,key4_c32,key4_c32 - label_c19,val4_c33,ref4_c50,ref4_c50 - val4_c33,key5_c34,key5_c34 - label_c19,val5_c35,ref5_c52,ref5_c52 - val5_c35,key6_c36,key6_c36 - label_c19,val6_c37,ref6_c53,ref6_c53 - val6_c37,key7_c38,key7_c38 - label_c19,val7_c39,ref7_c54,ref7_c54 - val7_c39,key8_c40,key8_c40 - label_c19,val8_c41,ref8_c55,ref8_c55 - val8_c41,key9_c42,key9_c42 - label_c19,val9_c43,ref9_c56,ref9_c56 - val9_c43,key10_c57,key10_c57 - label_c19,val10_c58,ref10_c59,ref10_c59 - val10_c58,key11_c60,key11_c60 - label_c19,val11_c61,ref11_c62,ref11_c62 - val11_c61
88,2018-06-09 09:58,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 2) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = ) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = 1) [Records Excluded Step 3 Adult Not Spine]
шаг 4 - не травма (N = 3) [Records Excluded Step 4 Spine Other Than Trauma]
шаг 5 - шея (N = 4) [Records Excluded Step 5 C-Spine Trauma]
шаг 5b - таз (N = 1) [Records Excluded Step 5b Pelvic Trauma]
шаг 6 - осложненная травма (N = 4) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = ) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 2) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2018-06-09 17:41,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,56,Не исключено при скрининге,1,,,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 1) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = ) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 2) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 1) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 1) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 1) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = ) [Records Excluded Step 8 No Surgery in the Spine]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2018-06-09 19:47,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 5) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 0) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = 5) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 7) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 1) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 8) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = 8) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 0) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 57) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 8) [Records Excluded Step 8 No Surgery in the Spine]
шаг 8a - не та хирургия (N = 0) [Records Excluded Step 8a Surgery Not Directly Relevant]",,,56,Не исключено при скрининге,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2018-06-10 19:09,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,56,Не исключено при скрининге,850,,,22,Всего возвратил записей,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2018-06-12 15:23,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 1) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = ) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 4) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 1) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 1) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 1) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = ) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2018-06-12 15:27,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 21) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 2) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = 10) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 19) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 2) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 18) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = 12) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 1) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 88) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 9) [Records Excluded Step 8 No Surgery in the Spine]
шаг 8a - не та хирургия (N = 6) [Records Excluded Step 8a Surgery Not Directly Relevant]",,,56,Не исключено при скрининге,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2018-06-13 12:58,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,56,Не исключено при скрининге,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2018-06-13 15:12,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 1) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = ) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 4) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 1) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 1) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 2) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = ) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2018-06-14 11:28,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 36) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 3) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = 16) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 30) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 6) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 18) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = 16) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 3) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 145) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 14) [Records Excluded Step 8 No Surgery in the Spine]
шаг 8a - не та хирургия (N = 8) [Records Excluded Step 8a Surgery Not Directly Relevant]",,,56,Не исключено при скрининге,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2018-06-14 16:43,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 47) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 3) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = 19) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 42) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 6) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 20) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = 19) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 5) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 179) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 19) [Records Excluded Step 8 No Surgery in the Spine]
шаг 8a - не та хирургия (N = 9) [Records Excluded Step 8a Surgery Not Directly Relevant]",,,56,Не исключено при скрининге,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2018-06-14 19:50,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 1) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 1) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 4) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 1) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 1) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 2) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 1) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2018-06-14 19:54,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 55) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 6) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = 25) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 56) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 7) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 28) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = 24) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 5) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 245) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 24) [Records Excluded Step 8 No Surgery in the Spine]
шаг 8a - не та хирургия (N = 12) [Records Excluded Step 8a Surgery Not Directly Relevant]",,,56,Не исключено при скрининге,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2018-06-15 22:29,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,56,Не исключено при скрининге,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2018-06-16 17:09,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 1) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 1) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 5) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 1) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 1) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 1) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 2) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 1) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2018-06-21 08:29,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 1) [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = 1) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4a - шея (N = 5) [Records Excluded Step 4a Adult C-Spine]
шаг 4b - таз (N = 2) [Records Excluded Step 4b Adult Pelvis]
шаг 5c - не травма (N = 1) [Records Excluded Step 5c TL Spine Other Than Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = 1) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = 3) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 1) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
