BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,,a36946176,"Hoshko, V.  Iu; Cheverda, A.  I.","TRIPLE ARTHRODESIS IN THE
TREATMENT OF FLAT FOOT DEFORMITIES
IN CHILDREN WITH NEUROMUSCULAR
DISORDER","Вісник ортопедії, травматології та протезування",,3,,49--56,2018,,,https://elibrary.ru/item.asp?id=36946176,,,,,,,,,,,,,,,,,
7,,a36547399,"Ivchenko, D.  V.; Miroshnikov, V.  V.","AUTOLOGOUS PLATELET-RICH PLASMA
APPLICATION FOR THE OPTIMIZATION
OF BONE TISSUE REPARATIVE
REGENERATION IN OSTEOPENIA",Патологiя,15,2,,248--258,2018,,,https://elibrary.ru/item.asp?id=36547399,,,,,,,,,,,,,,,,,
7,,a35061388,"Karateev, A.  E.; Lila, A.  M.","RUSSIAN EXPERIENCE WITH
INJECTABLE CHONDROITIN SULFATE AND
GLUCOSAMINE SULFATE: A REVIEW OF
CLINICAL TRIALS",Современная ревматология,12,1,,33--40,2018,,,https://elibrary.ru/item.asp?id=35061388,,,,,,,,,,,,,,,,,
7,,a36914692,"Karibaev, B.  M.; Muhametzhanov, H.; Bekarisov, O.  S.; Baydarbekov, M.  U.","FORMATION OF SYNDROME OF
INSTABILITY AND ITS SURGICAL
TREATMENT",Вестник Казахского Национального медицинского университета,,2,,402--403,2015,,,https://elibrary.ru/item.asp?id=36914692,,,,,,,,,,,,,,,,,
7,,a35779812,"Khamraeva, G.","DIFFERENTIATED APPROACH TO THE
DIAGNOSIS OF OPTIC NEURITIS OF THE
VARIOUS ETIOLOGIES",Oftalmologiya,,1,,125--129,2017,,,https://elibrary.ru/item.asp?id=35779812,,,,,,,,,,,,,,,,,
7,,a37144635,"Krishtafor, A.  A.","THE STRUCTURE OF MODERN CIVILIAN
MULTIPLE TRAUMA AT THE STAGE OF
PROVIDING TERTIARY CARE IN THE
INTENSIVE CARE UNIT OF REGIONAL
HOSPITAL",Медицина неотложных состояний,,1,,96--100,2019,,,https://elibrary.ru/item.asp?id=37144635,,,,,,,,,,,,,,,,,
7,,a36589938,"Lysenko, S.  M.; Ilyuk, R.  Yu; Lytvynenko, A.  L.; Klymenko, O.  V.; Ashykhmin, A.  V.; Voznyak, O.  M.","EXTRAVERTEBRAL CEMENT LEAKAGE AT
PERCUTANEOUS KYPHOPLASTY IN
PATIENTS WITH OSTEOPOROTIC
VERTEBRAL COMPRESSION FRACTURES",Український нейрохірургічний журнал,,4,,38--44,2018,,,https://elibrary.ru/item.asp?id=36589938,,,,,,,,,,,,,,,,,
7,,a36914651,"Medetbekov, T.; Kanybeku, A.; Sembene, G.","SELECTION METHODS OF DIAGNOSIS
PENETRATES WOUND TO THE CHEST",Вестник Казахского Национального медицинского университета,,2,,293--294,2015,,,https://elibrary.ru/item.asp?id=36914651,,,,,,,,,,,,,,,,,
7,,a35560012,"Novoselskaya, N.  A.; Kunitsa, V.  N.; Gasanova, I.  Kh","STRUCTURAL CHANGE IN THE NERVE
APPARATUS OF STRIATED MUSCLES OF
RATS IN CASE OF SPINAL CORD
TRAUMA",Modern Science,,8,,23--28,2018,,,https://elibrary.ru/item.asp?id=35560012,,,,,,,,,,,,,,,,,
7,,a35166295,"Perrin, R.  N.","CHRONIC FATIGUE SYNDROME/MYALGIC
ENCEPHALOMYELITIS: DIAGNOSIS FROM
AN OSTEOPATHIC PERSPECTIVE",Российский остеопатический журнал,,1,,19--27,2018,,,https://elibrary.ru/item.asp?id=35166295,,,,,,,,,,,,,,,,,
7,,a35302069,"Povoroznyuk, V.; Grygorieva, N.; Orlyk, T.","FREQUENCY AND LOCALIZATION OF
OSTEOPOROTIC FRACTURES DEPENDING
ON AGE, BONE MINERAL DENSITY AND
TRABECULAR BONE SCORE IN
POSTMENOPAUSAL WOMEN OF UKRAINIAN
COHORT",Боль. Суставы. Позвоночник,8,2,,74--79,2018,,,https://elibrary.ru/item.asp?id=35302069,,,,,,,,,,,,,,,,,
7,,a36474407,"Povoroznyuk, V.  V.; Bystrytska, M.  A.; Balatska, N.  І.","THE TREATMENT OF OSTEOPOROSIS IN
PARKINSON’S DISEASE PATIENTS",Травма,19,5,,47--52,2018,,,https://elibrary.ru/item.asp?id=36474407,,,,,,,,,,,,,,,,,
7,,a35011641,"Povoroznyuk, V.  V.; Bystrytska, M.  A.; Karaban, I.  M.; Karasevich, N.  V.","GENDER PECULIARITIES OF BONE
MINERAL DENSITYIN PATIENTS WITH
PARKINSON’S DISEASE",Боль. Суставы. Позвоночник,8,1,,24--30,2018,,,https://elibrary.ru/item.asp?id=35011641,,,,,,,,,,,,,,,,,
7,,a35302073,"Povoroznyuk, V.  V.; Bystrytska, M.  A.; Musiienko, A.  S.",OSTEOPOROSIS IN ONCOLOGY,Боль. Суставы. Позвоночник,8,2,,101--110,2018,,,https://elibrary.ru/item.asp?id=35302073,,,,,,,,,,,,,,,,,
7,,a35093898,"Radchenko, V.  A.; Popsuyshapka, K.  A.; Teslenko, S.  A.","ANALYSIS OF THE SPINAL CANAL
DIMENSIONS AND NEUROLOGICAL
SYMPTOMS DYNAMICS IN SURGICAL
TREATMENT OF BURST FRACTURES OF
THE THORACIC AND LUMBAR SPINE",Український нейрохірургічний журнал,,2,,47--60,2018,,,https://elibrary.ru/item.asp?id=35093898,,,,,,,,,,,,,,,,,
7,,a35049161,"Radchenko, V.  A.; Popsuyshapka, K.  A.; Teslenko, S.  A.","RESULTS OF THE VERTEBRAL BODY
REGENERATION DURING SURGICAL
TREATMENT OF BURST FRACTURES OF
THE THORACIC AND LUMBAR SPINE",Травма,19,2,,64--71,2018,,,https://elibrary.ru/item.asp?id=35049161,,,,,,,,,,,,,,,,,
7,,a36825375,"Radchenko, V.  O.; Popsuyshapka, K.  O.","THE CONCEPT OF TREATMENT OF BURST
FRACTURES AND VERTEBRAL FRACTURES
WITH DISTRACTION AND ROTATION OF
THE THORACIC AND LUMBAR SPINE
ACCORDING TO THE PRINCIPLE OF
RESIDUAL FIXATION",Травма,19,6,,5--12,2018,,,https://elibrary.ru/item.asp?id=36825375,,,,,,,,,,,,,,,,,
7,,a36329136,"Ramezani, F.; Mazraeh, S.  A.","THE EFFECTIVENESS OF LIFE SKILLS
TRAINING ON LIFE SATISFACTION IN
PATIENTS WITH SPINAL CORD INJURY",Клиническая и специальная психология,7,3,,135--145,2018,,,https://elibrary.ru/item.asp?id=36329136,,,,,,,,,,,,,,,,,
7,,a35352202,"Raskaliei, T.  Ya; Raskaliei, V.  B.; Shobat, L.  B.; Gavriliuk-Skiba, G.  O.","HISTOCHEMICAL STUDY OF SKELETAL
MUSCLES IN EXPERIMENTAL SPINAL
CORD BLUNT INJURY",Морфологiя,10,3,,243--247,2016,,,https://elibrary.ru/item.asp?id=35352202,,,,,,,,,,,,,,,,,
7,,a35668320,"Slynko, I.  I.; Nekhlopochin, A.  S.","DYNAMICS OF PAIN INTENSITY IN
PATIENTS AFTER ANTERIOR SUBAXIAL
CERVICAL FUSION",Український нейрохірургічний журнал,,3,,47--54,2018,,,https://elibrary.ru/item.asp?id=35668320,,,,,,,,,,,,,,,,,
7,,a35093895,"Slynko, I.  I.; Nekhlopochin, A.  S.","THE STATE OF SEGMENTAL KYPHOSIS
OF OPERATED SEGMENT AFTER ANTERIOR
SUBAXIAL CERVICAL FUSION USING
DIFFERENT TYPES OF STABILIZING
SYSTEMS",Український нейрохірургічний журнал,,2,,26--32,2018,,,https://elibrary.ru/item.asp?id=35093895,,,,,,,,,,,,,,,,,
7,,a35203457,"Tsymbaliuk, V.  I.; Medvediev, V.  V.; Senchyk, Yu Yu; Draguntsova, N.  G.","COMPARATIVE ANALYSIS OF THE RAT’S
PARETIC LIMB SPASTICITY DYNAMICS
FOLLOWING A SPINAL CORD TRAUMA AND
RESTORATIVE NEUROENGINEERING
INTERVENTIONS INVOLVING
MESENCHYMAL AND NEURAL STEM CELLS",Международный неврологический журнал,,3,,5--12,2018,,,https://elibrary.ru/item.asp?id=35203457,,,,,,,,,,,,,,,,,
7,,a36412720,"Vladyslav, P.; Larysa, M.; Iryna, S.; Liliya, M.","ASSOCIATIONS BETWEEN METABOLIC
SYNDROME AND BONE MINERAL DENSITY,
TRABECULAR BONE SCORE IN
POSTMENOPAUSAL WOMEN WITH
NON-VERTEBRAL FRACTURES",Боль. Суставы. Позвоночник,8,3,,117--123,2018,,,https://elibrary.ru/item.asp?id=36412720,,,,,,,,,,,,,,,,,
7,,a37073648,"Yergnyan, M.  R.","ТРАВМАТИЧЕСКИЕ СЛУЧАИ ГРУДНОГО
ВСКАРМЛИВАНИЯ НОВОРОЖДЕННЫХ
ВЫЗЫВАЮТ ПСИХОЛОГИЧЕСКИЕ ПРОБЛЕМЫ
ВО ВЗРОСЛОМ ВОЗРАСТЕ",Актуальные научные исследования в современном мире,,2,,27--31,2019,,,https://elibrary.ru/item.asp?id=37073648,,,,,,,,,,,,,,,,,
7,,a36323457,"Абакаров, А.  А.","ОБОСНОВАНИЕ НОВОГО МЕТОДА
АЛЬТЕРНАТИВНОГО ЛЕЧЕНИЯ
ВРОЖДЕННОГО ВЫВИХА БЕДРА У
ПОДРОСТКОВ И ВЗРОСЛЫХ",Практическая медицина,,7,,11--15,2018,,,https://elibrary.ru/item.asp?id=36323457,,,,,,,,,,,,,,,,,
7,,a36323768,"Абакаров, А.  А.","ОБОСНОВАНИЕ НОВОГО МЕТОДА
АЛЬТЕРНАТИВНОГО ЛЕЧЕНИЯ
ВРОЖДЕННОГО ВЫВИХА БЕДРА У
ПОДРОСТКОВ И ВЗРОСЛЫХ",Практическая медицина,,7,,11--15,2018,,,https://elibrary.ru/item.asp?id=36323768,,,,,,,,,,,,,,,,,
7,,a35126501,"Абдулазіз, А.  А.; Раді, Г.  А.; Ентоні, М.; Ахмед, С.  А.; Фейсал, Ф.  А.; Абдулрахман, М.  А.; Фейсал, Х.  А.; Абдулазіз, Н.  А.; Язід, М.  А.; Абдулла, А.  А.","ТИП ТРАВМИ ТА ЙОГО ВЗАЄМОЗВ’ЯЗОК
ЗІ ШКАЛОЮ КОМИ ГЛАЗГО, ШКАЛОЮ
ТЯЖКОСТІ ТРАВМИ ТА ПЕРЕЛИВАННЯМ
КРОВІ ПРИ ДТП",Медичні перспективи,23,2,,148--159,2018,,,https://elibrary.ru/item.asp?id=35126501,,,,,,,,,,,,,,,,,
7,,a37085738,"Абрамов, Д.  В.","ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ АОРТЫ:
СОВРЕМЕННАЯ ДИАГНОСТИКА И ЛЕЧЕНИЕ
В ТРАВМОЦЕНТРЕ 1 УРОВНЯ",Известия Российской Военно-медицинской академии,37,1,,7--9,2018,,,https://elibrary.ru/item.asp?id=37085738,,,,,,,,,,,,,,,,,
7,,a35684235,"Августин, Д.","РУКОВОДСТВО ПО НЕОТЛОЖНОЙ
ТРАВМАТОЛОГИЧЕСКОЙ ПОМОЩИ ITLS",Врач скорой помощи,,8,,7--26,2017,,,https://elibrary.ru/item.asp?id=35684235,,,,,,,,,,,,,,,,,
7,,a35297095,"Аверин, В.  И.; Нестерук, Л.  Н.; Гриневич, Ю.  М.; Троян, В.  В.; Рустамов, В.  М.; Паталета, О.  А.; Болбас, Т.  М.; Жинь, И.  Г.","РЕЗУЛЬТАТЫ ЭЗОФАГОПЛАСТИКИ У
ДЕТЕЙ С РУБЦОВЫМИ ПОСЛЕОЖОГОВЫМИ
СТЕНОЗАМИ ПИЩЕВОДА",Хирургия детского возраста,,1,,90--97,2018,,,https://elibrary.ru/item.asp?id=35297095,,,,,,,,,,,,,,,,,
7,,a35682265,"Аганесов, А.  Г.","ТЕЗИСЫ ПИРОГОВСКОГО ФОРУМА С
МЕЖДУНАРОДНЫМ УЧАСТИЕМ ХИРУРГИЯ
ПОВРЕЖДЕНИЙ"," КРИТИЧЕСКИЕ СОСТОЯНИЯ. СПАСИ И СОХРАНИ"" 25-26 МАЯ 2017""","Вестник неврологии, психиатрии и нейрохирургии",,5,,67--71,2017,,,https://elibrary.ru/item.asp?id=35682265,,,,,,,,,,,,,,,,
7,,a35255793,"Аганесов, А.  Г.; Хейло, А.  Л.; Алексанян, М.  М.; Макаров, С.  А.","ХИРУРГИЧЕСКОЕ ЛЕЧЕНИЕ ПОВРЕЖДЕНИЙ
ПОЗВОНОЧНИКА",Хирургия. Журнал им. Н.И. Пирогова,,7,,37--40,2018,,,https://elibrary.ru/item.asp?id=35255793,,,,,,,,,,,,,,,,,
7,,a36457443,"Аксельров, М.  А.; Емельянова, В.  А.; Супрунец, С.  Н.; Фомичев, М.  В.; Сергиенко, Т.  В.","ХИЛОТОРАКС В СТРУКТУРЕ
ПОСЛЕОПЕРАЦИОННЫХ ОСЛОЖНЕНИЙ ПРИ
АТРЕЗИИ ПИЩЕВОДА: АНАЛИЗ ПРИЧИН,
СХЕМА ЛЕЧЕНИЯ",Педиатрия. Журнал им. Г.Н. Сперанского,97,6,,88--92,2018,,,https://elibrary.ru/item.asp?id=36457443,,,,,,,,,,,,,,,,,
7,,a36475576,"Аксельров, М.  А.; Разин, М.  П.; Сатывалдаев, М.  Н.; Вольский, Г.  Б.; Скобелев, В.  А.; Батуров, М.  А.","КИЛЕВИДНАЯ ДЕФОРМАЦИЯ ГРУДНОЙ
КЛЕТКИ","Российский вестник детской хирургии, анестезиологии и реаниматологии",8,3,,45--52,2018,,,https://elibrary.ru/item.asp?id=36475576,,,,,,,,,,,,,,,,,
7,,a36816763,"Аксельров, М.  А.; Сатывалдаев, М.  Н.; Бродер, И.  А.","СТАБИЛИЗАЦИЯ ГРУДИННО-РЕБЕРНОГО
КОМПЛЕКСА ПРИ ОБШИРНЫХ ФЛОТИРУЮЩИХ
ПЕРЕЛОМАХ РЕБЕР У ДЕТЕЙ: ОБЗОР
ЛИТЕРАТУРЫ И СОБСТВЕННЫЙ ОПЫТ",Хирургия детского возраста,,4,,25--30,2018,,,https://elibrary.ru/item.asp?id=36816763,,,,,,,,,,,,,,,,,
7,,a36715311,"Алекси-Месхишвили, В.  В.; Козлов, Ю.  А.","ОСЛОЖНЕНИЯ ХИРУРГИЧЕСКОГО ЛЕЧЕНИЯ
ОТКРЫТОГО АРТЕРИАЛЬНОГО ПРОТОКА У
НОВОРОЖДЁННЫХ",Детская хирургия,22,6,,301--305,2018,,,https://elibrary.ru/item.asp?id=36715311,,,,,,,,,,,,,,,,,
7,,a36766297,"Алешкина, М.  В.; Рытова, А.  Ю.","ВЛИЯНИЕ ИНТЕНСИВНОСТИ БОЛЕВОГО
ВОСПРИЯТИЯ НА СОЦИАЛЬНУЮ И
ТРУДОВУЮ АДАПТАЦИЮ",Нижегородский психологический альманах,,2,,1--7,2018,,,https://elibrary.ru/item.asp?id=36766297,,,,,,,,,,,,,,,,,
7,,a35644686,"Алиев, М.  А.; Жайлаубаева, А.  С.; Мустафинов, Д.  Б.; Караваев, В.  С.; Аглаков, Б.  М.; Сулейменова, Г.  Е.","ИНТРАОПЕРАЦИОННЫЙ НЕЙРОМОНИТОРИНГ
В СПИНАЛЬНОЙ НЕЙРОХИРУРГИИ В
КЛИНИЧЕСКОЙ ГОРОДСКОЙ БОЛЬНИЦЕ №7
ГОРОДА АЛМАТЫ",Вестник Алматинского государственного института усовершенствования врачей,,3,,31--37,2018,,,https://elibrary.ru/item.asp?id=35644686,,,,,,,,,,,,,,,,,
7,,a36351476,"Альбертин, С.  В.","МОДИФИЦИРОВАННЫЙ АППАРАТ ДЛЯ
СТЕРЕОТАКСИЧЕСКОЙ ФИКСАЦИИ
ЖИВОТНЫХ",Ветеринария Кубани,,5,,17--18,2018,,,https://elibrary.ru/item.asp?id=36351476,,,,,,,,,,,,,,,,,
7,,a35011863,"Альходжаев, С.  С.; Тезекбаев, К.  М.; Килыбаев, А.  К.; Джаксыбаев, М.  Н.; Жанкин, Б.  А.; Ни, Р.  Р.; Махамбетов, Г.  Б.","ИСХОДЫ ЛЕЧЕНИЯ ПЕРЕЛОМОВ
ПОЗВОНОЧНИКА",Вестник Казахского Национального медицинского университета,,3,,188--190,2016,,,https://elibrary.ru/item.asp?id=35011863,,,,,,,,,,,,,,,,,
7,,a36293066,"Аникеев, Н.  В.; Щедренок, В.  В.; Себелев, К.  И.","ОПЫТ ИСПОЛЬЗОВАНИЯ ТАКТИКИ DAMAGE
CONTROL ПРИ ЧЕРЕПНО-МОЗГОВОЙ И
ПОЗВОНОЧНО-СПИННОМОЗГОВОЙ ТРАВМЕ",Врач скорой помощи,,6,,45--53,2018,,,https://elibrary.ru/item.asp?id=36293066,,,,,,,,,,,,,,,,,
7,,a36389064,"Аракелян, В.  С.; Папиташвили, В.  Г.; Хон, В.  Л.; Букацелло, Р.  Г.; Гамзаев, Н.  Р.  О.; Гидаспов, Н.  А.; Куличков, П.  П.; Чшиева, И.  В.","ИШЕМИЧЕСКОЕ ПОВРЕЖДЕНИЕ СПИННОГО
МОЗГА ПРИ ХИРУРГИЧЕСКОМ ЛЕЧЕНИИ
АНЕВРИЗМ ТОРАКОАБДОМИНАЛЬНОГО
ОТДЕЛА АОРТЫ РАЗЛИЧНОЙ ЭТИОЛОГИИ",Бюллетень НЦССХ им. А.Н. Бакулева РАМН Сердечно-сосудистые заболевания,19,NaN,,98,2018,,,https://elibrary.ru/item.asp?id=36389064,,,,,,,,,,,,,,,,,
7,,a36481695,"Архипов, С.  В.; Лычагин, А.  В.; Дрогин, А.  Р.; Ключевский, И.  Н.; Муханов, В.  В.; Явлиева, Р.  Х.","ТУНЕЛЬНЫЙ СИНДРОМ, (НЕЙРОПАТИЯ)
НАДЛОПАТОЧНОГО НЕРВА",Кафедра травматологии и ортопедии,,2,,87--98,2018,,,https://elibrary.ru/item.asp?id=36481695,,,,,,,,,,,,,,,,,
7,,a35234714,"Афанасьева, И.  С.; Савелло, В.  Е.; Шумакова, Т.  А.; Тамаев, Т.  И.; Беляков, Ю.  В.; Сериков, В.  В.","КОМПЬЮТЕРНАЯ ТОМОГРАФИЯ В
ДИАГНОСТИКЕ ГНОЙНОВОСПАЛИТЕЛЬНЫХ
ЗАБОЛЕВАНИЙ И ИХ ОСЛОЖНЕНИЙ ПРИ
СОЧЕТАННОЙ ТРАВМЕ ПОЗВОНОЧНИКА В
УСЛОВИЯХ СТАЦИОНАРА СКОРОЙ
МЕДИЦИНСКОЙ ПОМОЩИ",Лучевая диагностика и терапия,,2,,64--71,2018,,,https://elibrary.ru/item.asp?id=35234714,,,,,,,,,,,,,,,,,
7,,a37074452,"Афаунов, А.  А.; Кузьменко, А.  В.; Басанкин, И.  В.; Агеев, М.  Ю.","ШКАЛА ОЦЕНКИ РИСКА
НЕВРОЛОГИЧЕСКИХ ОСЛОЖНЕНИЙ
ХИРУРГИЧЕСКОГО ЛЕЧЕНИЯ БОЛЬНЫХ С
ПОСТТРАВМАТИЧЕСКИМИ ДЕФОРМАЦИЯМИ
ГРУДНОГО И ПОЯСНИЧНОГО ОТДЕЛОВ
ПОЗВОНОЧНИКА",Кубанский научный медицинский вестник,26,1,,45--57,2019,,,https://elibrary.ru/item.asp?id=37074452,,,,,,,,,,,,,,,,,
7,,a35060711,"Афаунов, А.  А.; Кузьменко, А.  В.; Басанкин, И.  В.; Агеев, М.  Ю.","К ВОПРОСУ О КЛАССИФИКАЦИИ
ПОСТТРАВМАТИЧЕСКИХ ДЕФОРМАЦИЙ
ГРУДНОГО И ПОЯСНИЧНОГО ОТДЕЛОВ
ПОЗВОНОЧНИКА",Хирургия позвоночника,15,2,,23--32,2018,,,https://elibrary.ru/item.asp?id=35060711,,,,,,,,,,,,,,,,,
7,,a36345057,"Афонин, А.  А.; Друккер, Н.  А.; Гунько, В.  О.; Логинова, И.  Г.; Афонина, Т.  А.","АГМАТИН: СПЕКТР АКТИВНОСТИ В
МОЗГЕ, ДИАГНОСТИЧЕСКИЙ И
ТЕРАПЕВТИЧЕСКИЙ ПОТЕНЦИАЛ ПРИ
ЗАБОЛЕВАНИЯХ ЦНС",Современные проблемы науки и образования,,4,,228,2018,,,https://elibrary.ru/item.asp?id=36345057,,,,,,,,,,,,,,,,,
7,,a37096307,"Ахметзянова, Э.  Р.; Журавлева, М.  Н.; Галиева, Л.  Р.; Мухамедшина, Я.  О.","ВВЛИЯНИЕ ТРАНСПЛАНТАЦИИ КЛЕТОК
МИКРОГЛИИ НА СТРУКТУРНЫЕ И
ФУНКЦИОНАЛЬНЫЕ ПОКАЗАТЕЛИ ПРИ
ТРАВМЕ СПИННОГО МОЗГА КРЫСЫ",Гены и Клетки,12,3,,36,2017,,,https://elibrary.ru/item.asp?id=37096307,,,,,,,,,,,,,,,,,
7,,a36365737,"Ашиналиев, А.  А.; Ургуналиев, Б.  К.; Жынжыров, Б.  К.; Туркменов, А.  А.","КЛИНИЧЕСКИЙ СЛУЧАЙ ДРЕНИРОВАНИЯ
ДЕФЕКТА НИЖНЕЙ ТРЕТИ ПИЩЕВОДА
МОДИФИЦИРОВАННОЙ Т” - ОБРАЗНОЙ
ТРУБКОЙ ВСЛЕДСТВИЕ НОЖЕВОГО
РАНЕНИЯ ПИЩЕВОДА”",Медицина Кыргызстана,1,3,,99--102,2018,,,https://elibrary.ru/item.asp?id=36365737,,,,,,,,,,,,,,,,,
7,,a36645506,Б.а.,ОСТРОЕ ПОЧЕЧНОЕ ПОВРЕЖДЕНИЕ,Нефрология и диализ,20,4,,439--441,2018,,,https://elibrary.ru/item.asp?id=36645506,,,,,,,,,,,,,,,,,
7,,a36645505,Б.а.,ХРОНИЧЕСКАЯ БОЛЕЗНЬ ПОЧЕК,Нефрология и диализ,20,4,,416--438,2018,,,https://elibrary.ru/item.asp?id=36645505,,,,,,,,,,,,,,,,,
7,,a36742953,"Бабичев, К.  Н.; Станишевский, А.  В.; Свистов, Д.  В.; Аверьянов, Д.  А.; Лакотко, Р.  С.","ХИРУРГИЧЕСКОЕ ЛЕЧЕНИЕ ОПУХОЛЕЙ IV
ЖЕЛУДОЧКА. СРАВНИТЕЛЬНЫЙ АНАЛИЗ
ЭФФЕКТИВНОСТИ И БЕЗОПАСНОСТИ
СРЕДИННОГО И ТЕЛОВЕЛЯРНОГО
ДОСТУПОВ",Нейрохирургия,20,4,,10--19,2018,,,https://elibrary.ru/item.asp?id=36742953,,,,,,,,,,,,,,,,,
7,,a36590012,"Бабкин, А.  В.","ИМПЛАНТАТЫ ПОЗВОНКОВ ДЛЯ
МЕЖТЕЛОВОГО СПОНДИЛОДЕЗА:
БИОМЕХАНИЧЕСКИЕ И ТЕХНИЧЕСКИЕ
ИДЕИ, КЛИНИЧЕСКИЕ АСПЕКТЫ",Военная медицина,,4,,66--77,2018,,,https://elibrary.ru/item.asp?id=36590012,,,,,,,,,,,,,,,,,
7,,a37101536,"Бажанов, С.  П.; Ульянов, В.  Ю.; Островский, В.  В.; Лихачев, С.  В.","ОТДАЛЕННЫЕ РЕЗУЛЬТАТЫ ПРИМЕНЕНИЯ
ЗАДНЕЙ ФИКСАЦИИ СУБАКСИАЛЬНЫХ
ПОЗВОНКОВ ПРИ ОСТРОЙ НЕСТАБИЛЬНОЙ
ТРАВМЕ",Саратовский научно-медицинский журнал,14,3,,501--504,2018,,,https://elibrary.ru/item.asp?id=37101536,,,,,,,,,,,,,,,,,
